Data Source,World Development Indicators
,
Last Updated Date,10-07-25
,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023,2024
Chile,CHL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,491062045094.545,565981846554.521,602631465819.443,644836890413.857,684594682203.973
China,CHN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,25777238693451.8,29438240129870.1,32525464028395.1,35520435397067.7,38190084585497.8
Cote d'Ivoire,CIV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,160302939789.704,179178274483.428,204237508213.331,225235088913.669,244407043373.227
Cameroon,CMR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,114420802871.501,129022200845.744,143385827220.975,153370677810.357,162845309666.946
"Congo, Dem. Rep.",COD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,109045443618.14,130243843399.282,151981795496.983,171005766912.844,186833135551.667
"Congo, Rep.",COG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,27446361623.0188,36903988991.0873,40118334632.1584,42354479275.5663,44497676671.9019
Colombia,COL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,785737564322.414,889808627041.398,1070755175690.69,1095839760556.08,1136771232492.38
Comoros,COM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2616330804.01696,2821917777.54899,3108308931.75495,3318845023.61956,3514286024.8808
Cabo Verde,CPV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3526877323.02085,3970664151.46117,4927702546.11045,5380239592.51596,5911044392.74439
Costa Rica,CRI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,111257806526.907,120695515793.091,131743438291.443,143338340238.733,154219710536.776
Caribbean small states,CSS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,89872844012.2782,104573449542.966,129644883755.765,147978035571.739,174613524421.519
Cuba,CUB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,
Curacao,CUW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3377382703.96868,3834193240.62081,4432992604.20274,4785486256.0917,
Cayman Islands,CYM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4541293667.09992,5198568359.3221,5856365563.73081,6331606438.29745,
Cyprus,CYP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,38672028566.7788,43923040810.4633,51062040030.0696,53042918220.7842,57562539070.935
Czechia,CZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,479686413475.523,502134232985.641,551853486423.138,578154104196.061,618168364251.941
Germany,DEU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4880368289108.08,5202314428956.09,5663892390556.96,5763465942185.64,6037851748487.12
Djibouti,DJI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6108376123.1385,6682759257.72075,7529088292.28275,8375036988.61577,9088246562.64647
Dominica,DMA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,962493750.735115,1062394694.29521,1256467931.15199,1349220673.88532,1410211841.8057
Denmark,DNK,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,365525756328.655,408303200976.802,456897040142.032,438513061150.911,475256247950.47
Dominican Republic,DOM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,209139062581.87,245311121758.829,276565908801.115,292799158645.68,314728445100.483
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,558300141593.952,648895630480.26,720184226953.646,776689344138.3,821720979879.888
East Asia & Pacific (excluding high income),EAP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,33979316936655.2,38242455087062.5,42512341327448.1,46311510338913.3,49775908459051.3
Early-demographic dividend,EAR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,32721466714930.4,36912841039778.1,42425709152118.7,46240093066834.9,49261914236722.6
East Asia & Pacific,EAS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,45775496932246.4,50911335061825.2,56174560492098,60680763442066.9,64817217343570.9
Europe & Central Asia (excluding high income),ECA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4909732586514.66,5507304688509.1,6251213471228.94,6797341167753.47,7169894446611.27
